Violation_ID,Violation_Type,Fine_Amount,Location,Date,Time,Vehicle_Type,Vehicle_Color,Vehicle_Model_Year,Driver_Age,Driver_Gender,Penalty_Points,Weather_Condition,Road_Condition,License_Validity,Number_of_Passengers,Helmet_Worn,Seatbelt_Worn,Traffic_Light_Status,Speed_Limit,Recorded_Speed,Alcohol_Level,Breathalyzer_Result,Towed,Fine_Paid,Payment_Method,Court_Appearance_Required,Comments,Violation_Type,Fine_Amount,Location,Date,Time
VLT103479,Over-speeding,-0.3727629,Maharashtra,2032-07-28,12:30,Scooter,Yellow,-0.38655567,-0.38484493,Other,-0.3809822,Foggy,Potholes,Suspended,-0.49021432,,Yes,Red,1.4192667,1.4089267,-0.712151,Not Conducted,No,No,Card,Yes,Repeat Offender,Overloading,0.09142417,West Bengal,2028-06-04,22:48
VLT100858,No Seatbelt,-0.3727629,Punjab,2025-05-25,02:36,Scooter,Grey,-0.38655567,2.5984492,Other,-0.3809822,Rainy,Under Construction,Suspended,2.0399241,No,Yes,Red,-0.7045892,-0.70976007,-0.712151,Negative,No,No,Online,No,Repeat Offender,Overloading,0.08741003,West Bengal,2028-06-04,22:48
VLT101990,Over-speeding,-0.3727629,Karnataka,2028-06-30,18:54,Scooter,Grey,-0.38655567,-0.38484493,Male,-0.3809822,Dust Storm,Potholes,Valid,-0.49021432,,,Red,-0.7045892,1.4089267,-0.712151,Positive,No,Yes,Not Paid,No,Repeat Offender,Overloading,0.07863651,West Bengal,2028-06-04,22:48
VLT103779,Over-speeding,-0.3727629,Karnataka,2033-05-24,05:12,Scooter,Silver,-0.38655567,-0.38484493,Other,-0.3809822,Clear,Wet,Expired,-0.49021432,,,Yellow,-0.7045892,-0.70976007,1.4041966,Not Conducted,No,No,Cash,No,Repeat Offender,Overloading,0.034617882,West Bengal,2028-06-04,22:48
VLT100354,Over-speeding,-0.3727629,Karnataka,2024-01-07,16:04,Scooter,White,-0.38655567,-0.38484493,Male,-0.3809822,Cloudy,Potholes,Expired,-0.49021432,,Yes,Red,-0.7045892,-0.70976007,1.4041966,Positive,Yes,No,Cash,No,Repeat Offender,Overloading,0.09597872,West Bengal,2028-06-04,22:48
VLT101667,Over-speeding,-0.3727629,Gujarat,2027-08-12,00:50,Scooter,White,-0.38655567,-0.38484493,Male,-0.3809822,Dust Storm,Dry,Suspended,-0.49021432,Yes,No,Red,-0.7045892,-0.70976007,-0.712151,Negative,Yes,No,Card,No,Repeat Offender,Overloading,0.092314735,West Bengal,2028-06-04,22:48
VLT101653,Over-speeding,-0.3727629,Maharashtra,2027-07-29,23:43,Scooter,Yellow,2.5869496,-0.38484493,Other,-0.3809822,Foggy,Wet,Suspended,-0.49021432,No,No,Yellow,-0.7045892,-0.70976007,-0.712151,Negative,Yes,No,Cash,Yes,Repeat Offender,Overloading,0.064986125,West Bengal,2028-06-04,22:48
VLT101854,Over-speeding,-0.3727629,Karnataka,2028-02-15,03:04,Scooter,Silver,-0.38655567,-0.38484493,Other,-0.3809822,Dust Storm,Under Construction,Valid,-0.49021432,,Yes,Green,-0.7045892,1.4089267,-0.712151,Not Conducted,Yes,No,Card,Yes,Repeat Offender,Overloading,0.05727696,West Bengal,2028-06-04,22:48
VLT103918,Over-speeding,-0.3727629,Gujarat,2033-10-10,20:08,Scooter,Red,-0.38655567,-0.38484493,Female,-0.3809822,Foggy,Under Construction,Expired,-0.49021432,,No,Green,-0.7045892,-0.70976007,-0.712151,Negative,Yes,Yes,Online,No,Repeat Offender,Overloading,0.08839266,West Bengal,2028-06-04,22:48
VLT102021,No Seatbelt,-0.3727629,Delhi,2028-07-31,14:42,Scooter,Red,-0.38655567,-0.38484493,Male,-0.3809822,Rainy,Under Construction,Suspended,2.0399241,No,No,Red,1.4192667,-0.70976007,-0.712151,Negative,Yes,No,Online,Yes,Repeat Offender,Overloading,0.23633638,Punjab,2028-07-24,22:48
VLT102583,Over-speeding,-0.3727629,Uttar Pradesh,2030-02-13,15:56,Scooter,Red,-0.38655567,2.5984492,Other,-0.3809822,Cloudy,Wet,Expired,-0.49021432,,No,Red,1.4192667,-0.70976007,-0.712151,Negative,Yes,Yes,Online,No,Repeat Offender,Overloading,0.079059735,West Bengal,2028-06-04,22:48
VLT103800,No Seatbelt,-0.3727629,Delhi,2033-06-14,05:57,Scooter,Green,-0.38655567,-0.38484493,Other,2.6247945,Foggy,Potholes,Suspended,2.0399241,Yes,Yes,Green,1.4192667,-0.70976007,-0.712151,Negative,No,No,Online,No,Repeat Offender,Overloading,0.099940315,West Bengal,2028-06-04,22:48
VLT101669,Over-speeding,-0.3727629,Karnataka,2027-08-14,19:12,Scooter,Red,-0.38655567,-0.38484493,Male,-0.3809822,Dust Storm,Under Construction,Suspended,2.0399241,No,,Yellow,-0.7045892,1.4089267,-0.712151,Positive,No,No,Cash,Yes,Repeat Offender,Overloading,0.081527814,West Bengal,2028-06-04,22:48
VLT102683,Over-speeding,-0.3727629,Karnataka,2030-05-24,00:48,Scooter,Silver,-0.38655567,-0.38484493,Other,-0.3809822,Foggy,Slippery,Suspended,-0.49021432,Yes,Yes,Yellow,-0.7045892,1.4089267,-0.712151,Not Conducted,Yes,No,Not Paid,No,Repeat Offender,Overloading,0.07536358,West Bengal,2028-06-04,22:48
VLT100721,Over-speeding,-0.3727629,Tamil Nadu,2025-01-08,07:49,Scooter,Grey,-0.38655567,-0.38484493,Female,-0.3809822,Dust Storm,Potholes,Suspended,-0.49021432,Yes,Yes,Red,1.4192667,1.4089267,-0.712151,Positive,No,Yes,Online,Yes,Repeat Offender,Overloading,0.03698625,West Bengal,2028-06-04,22:48
VLT100740,Over-speeding,2.6826706,Delhi,2025-01-27,23:36,Scooter,Yellow,2.5869496,-0.38484493,Other,-0.3809822,Dust Storm,Slippery,Suspended,-0.49021432,No,Yes,Yellow,-0.7045892,-0.70976007,-0.712151,Negative,No,No,Not Paid,No,Repeat Offender,Overloading,0.06251473,West Bengal,2028-06-04,22:48
VLT100493,Over-speeding,-0.3727629,Karnataka,2024-05-25,21:43,Scooter,Grey,2.5869496,-0.38484493,Other,-0.3809822,Foggy,Slippery,Suspended,-0.49021432,Yes,Yes,Green,1.4192667,-0.70976007,-0.712151,Negative,No,No,Not Paid,No,Repeat Offender,Overloading,0.06654363,West Bengal,2028-06-04,22:48
VLT102070,Over-speeding,2.6826706,Delhi,2028-09-18,18:03,Scooter,Red,-0.38655567,-0.38484493,Female,-0.3809822,Foggy,Wet,Suspended,2.0399241,No,Yes,Yellow,-0.7045892,-0.70976007,-0.712151,Negative,No,No,Cash,Yes,Repeat Offender,Overloading,0.06800341,West Bengal,2028-06-04,22:48
VLT100479,Over-speeding,-0.3727629,West Bengal,2024-05-11,22:31,Scooter,Yellow,-0.38655567,-0.38484493,Other,-0.3809822,Clear,Potholes,Suspended,2.0399241,Yes,Yes,Red,1.4192667,-0.70976007,-0.712151,Negative,Yes,No,Cash,Yes,Repeat Offender,Overloading,0.08148001,West Bengal,2028-06-04,22:48
VLT101786,Over-speeding,-0.3727629,Gujarat,2027-12-09,03:29,Scooter,Yellow,-0.38655567,2.5984492,Other,-0.3809822,Rainy,Dry,Suspended,-0.49021432,No,Yes,Red,-0.7045892,-0.70976007,-0.712151,Negative,No,No,Card,No,Repeat Offender,Overloading,0.06903896,West Bengal,2028-06-04,22:48
VLT102241,Over-speeding,2.6826706,Delhi,2029-03-08,01:37,Scooter,White,-0.38655567,-0.38484493,Male,-0.3809822,Cloudy,Potholes,Suspended,-0.49021432,Yes,Yes,Yellow,-0.7045892,-0.70976007,1.4041966,Not Conducted,No,No,Cash,No,Repeat Offender,Overloading,0.056146223,West Bengal,2028-06-04,22:48
VLT100461,Over-speeding,-0.3727629,Delhi,2024-04-23,19:44,Scooter,Grey,-0.38655567,-0.38484493,Other,-0.3809822,Rainy,Under Construction,Valid,-0.49021432,Yes,No,Red,-0.7045892,-0.70976007,1.4041966,Not Conducted,Yes,No,Card,No,Repeat Offender,Overloading,0.05742618,West Bengal,2028-06-04,22:48
VLT102442,Over-speeding,-0.3727629,Uttar Pradesh,2029-09-25,23:00,Scooter,Silver,2.5869496,-0.38484493,Other,-0.3809822,Rainy,Dry,Suspended,-0.49021432,No,No,Red,-0.7045892,1.4089267,-0.712151,Positive,Yes,No,Cash,No,Repeat Offender,Overloading,0.06686211,West Bengal,2028-06-04,22:48
VLT103176,No Seatbelt,-0.3727629,Delhi,2031-09-29,22:28,Scooter,Black,-0.38655567,-0.38484493,Other,-0.3809822,Cloudy,Potholes,Suspended,-0.49021432,Yes,No,Red,1.4192667,-0.70976007,1.4041966,Not Conducted,Yes,No,Card,No,Repeat Offender,Overloading,0.080070764,West Bengal,2028-06-04,22:48
VLT103414,Over-speeding,-0.3727629,Karnataka,2032-05-24,01:22,Scooter,Grey,-0.38655567,-0.38484493,Male,-0.3809822,Rainy,Under Construction,Suspended,2.0399241,No,Yes,Green,-0.7045892,-0.70976007,1.4041966,Positive,Yes,No,Cash,Yes,Repeat Offender,Overloading,0.06873044,West Bengal,2028-06-04,22:48
VLT102667,No Seatbelt,-0.3727629,Delhi,2030-05-08,17:02,Scooter,Silver,2.5869496,-0.38484493,Other,-0.3809822,Cloudy,Potholes,Valid,-0.49021432,Yes,Yes,Yellow,-0.7045892,-0.70976007,-0.712151,Negative,No,No,Not Paid,Yes,Repeat Offender,Overloading,0.09072856,West Bengal,2028-06-04,22:48
VLT101285,Over-speeding,-0.3727629,West Bengal,2026-07-26,05:34,Scooter,White,-0.38655567,-0.38484493,Male,-0.3809822,Dust Storm,Dry,Suspended,-0.49021432,No,Yes,Yellow,-0.7045892,1.4089267,-0.712151,Positive,Yes,No,Cash,No,Repeat Offender,Overloading,0.062223796,West Bengal,2028-06-04,22:48
VLT103124,No Seatbelt,-0.3727629,Delhi,2031-08-08,08:35,Scooter,Silver,-0.38655567,-0.38484493,Male,-0.3809822,Cloudy,Wet,Suspended,2.0399241,Yes,No,Red,-0.7045892,-0.70976007,1.4041966,Positive,Yes,No,Card,No,Repeat Offender,Overloading,0.07914914,West Bengal,2028-06-04,22:48
VLT102284,Over-speeding,-0.3727629,Karnataka,2029-04-20,02:28,Scooter,White,-0.38655567,-0.38484493,Female,-0.3809822,Cloudy,Wet,Suspended,-0.49021432,No,Yes,Green,-0.7045892,-0.70976007,-0.712151,Negative,Yes,Yes,Online,No,Repeat Offender,Overloading,0.07957891,West Bengal,2028-06-04,22:48
VLT103331,Over-speeding,-0.3727629,Delhi,2032-03-02,13:23,Scooter,White,-0.38655567,-0.38484493,Male,-0.3809822,Rainy,Under Construction,Valid,-0.49021432,No,No,Red,1.4192667,1.4089267,-0.712151,Not Conducted,No,Yes,Online,No,Repeat Offender,Overloading,0.058135465,West Bengal,2028-06-04,22:48
VLT102469,No Seatbelt,-0.3727629,Delhi,2029-10-22,01:20,Scooter,Red,-0.38655567,-0.38484493,Male,-0.3809822,Dust Storm,Slippery,Suspended,2.0399241,Yes,No,Red,1.4192667,-0.70976007,-0.712151,Negative,Yes,No,Not Paid,Yes,Repeat Offender,Overloading,0.081555046,West Bengal,2028-06-04,22:48
VLT103801,Over-speeding,-0.3727629,West Bengal,2033-06-15,09:23,Scooter,Green,-0.38655567,-0.38484493,Other,2.6247945,Dust Storm,Wet,Suspended,-0.49021432,,Yes,Red,1.4192667,1.4089267,-0.712151,Positive,No,No,Cash,No,Repeat Offender,Overloading,0.083451435,West Bengal,2028-06-04,22:48
VLT102615,Over-speeding,-0.3727629,Uttar Pradesh,2030-03-17,03:23,Scooter,Silver,-0.38655567,-0.38484493,Female,-0.3809822,Dust Storm,Slippery,Valid,-0.49021432,,No,Green,1.4192667,-0.70976007,1.4041966,Not Conducted,Yes,No,Not Paid,No,Repeat Offender,Overloading,0.08946879,West Bengal,2028-06-04,22:48
VLT103244,Over-speeding,-0.3727629,Tamil Nadu,2031-12-06,12:38,Scooter,Yellow,-0.38655567,-0.38484493,Male,-0.3809822,Foggy,Under Construction,Suspended,2.0399241,,No,Red,1.4192667,1.4089267,-0.712151,Positive,No,No,Cash,Yes,Repeat Offender,Overloading,0.08338484,West Bengal,2028-06-04,22:48
VLT101427,Over-speeding,-0.3727629,Uttar Pradesh,2026-12-15,08:50,Scooter,Grey,2.5869496,-0.38484493,Other,-0.3809822,Foggy,Potholes,Suspended,-0.49021432,Yes,Yes,Red,-0.7045892,-0.70976007,-0.712151,Negative,Yes,No,Online,No,Repeat Offender,Overloading,0.05982762,West Bengal,2028-06-04,22:48
VLT103108,Over-speeding,-0.3727629,Uttar Pradesh,2031-07-23,15:06,Scooter,Yellow,-0.38655567,-0.38484493,Other,-0.3809822,Dust Storm,Potholes,Suspended,-0.49021432,No,,Red,-0.7045892,-0.70976007,-0.712151,Negative,Yes,No,Cash,No,Repeat Offender,Overloading,0.06467555,West Bengal,2028-06-04,22:48
VLT102380,Over-speeding,2.6826706,Delhi,2029-07-25,05:05,Scooter,Black,-0.38655567,-0.38484493,Other,-0.3809822,Cloudy,Under Construction,Suspended,-0.49021432,,Yes,Green,1.4192667,1.4089267,-0.712151,Positive,No,Yes,Online,No,Repeat Offender,Overloading,0.09005298,West Bengal,2028-06-04,22:48
VLT101937,Over-speeding,-0.3727629,West Bengal,2028-05-08,20:56,Scooter,White,-0.38655567,-0.38484493,Other,-0.3809822,Dust Storm,Potholes,Valid,-0.49021432,Yes,No,Green,-0.7045892,1.4089267,-0.712151,Positive,No,No,Cash,No,Repeat Offender,Overloading,0.047128383,West Bengal,2028-06-04,22:48
VLT100205,Over-speeding,-0.3727629,Tamil Nadu,2023-08-11,03:20,Scooter,Silver,-0.38655567,-0.38484493,Male,-0.3809822,Cloudy,Under Construction,Suspended,-0.49021432,,Yes,Red,1.4192667,-0.70976007,-0.712151,Negative,Yes,Yes,Not Paid,No,Repeat Offender,Overloading,0.062424395,West Bengal,2028-06-04,22:48
VLT102957,Over-speeding,-0.3727629,Tamil Nadu,2031-02-22,00:21,Scooter,Green,-0.38655567,2.5984492,Other,-0.3809822,Rainy,Under Construction,Suspended,2.0399241,Yes,Yes,Red,-0.7045892,-0.70976007,-0.712151,Negative,Yes,Yes,Online,No,Repeat Offender,Overloading,0.055561583,Delhi,2027-12-16,00:47
VLT103378,Over-speeding,-0.3727629,Karnataka,2032-04-18,15:27,Scooter,Red,-0.38655567,-0.38484493,Other,2.6247945,Rainy,Under Construction,Suspended,2.0399241,,Yes,Red,-0.7045892,1.4089267,-0.712151,Positive,Yes,No,Card,Yes,Repeat Offender,Overloading,0.070466764,West Bengal,2028-06-04,22:48
VLT101371,Over-speeding,-0.3727629,Karnataka,2026-10-20,16:39,Scooter,Black,-0.38655567,-0.38484493,Other,-0.3809822,Rainy,Under Construction,Suspended,-0.49021432,Yes,No,Red,-0.7045892,-0.70976007,-0.712151,Negative,Yes,No,Card,No,Repeat Offender,Overloading,0.09185777,West Bengal,2028-06-04,22:48
VLT100646,Over-speeding,-0.3727629,Tamil Nadu,2024-10-25,16:15,Scooter,Yellow,-0.38655567,-0.38484493,Other,2.6247945,Rainy,Dry,Suspended,-0.49021432,,,Yellow,-0.7045892,1.4089267,-0.712151,Not Conducted,Yes,No,Card,No,Repeat Offender,Overloading,0.08937682,West Bengal,2028-06-04,22:48
VLT102210,Over-speeding,-0.3727629,Maharashtra,2029-02-05,20:00,Scooter,Red,-0.38655567,-0.38484493,Other,-0.3809822,Clear,Potholes,Suspended,-0.49021432,No,No,Red,-0.7045892,1.4089267,-0.712151,Not Conducted,Yes,No,Cash,No,Repeat Offender,Overloading,0.08714868,West Bengal,2028-06-04,22:48
VLT102159,Over-speeding,-0.3727629,West Bengal,2028-12-16,09:11,Scooter,Green,-0.38655567,-0.38484493,Male,-0.3809822,Rainy,Under Construction,Valid,-0.49021432,,Yes,Red,-0.7045892,1.4089267,-0.712151,Positive,Yes,Yes,Not Paid,No,Repeat Offender,Overloading,0.07301699,West Bengal,2028-06-04,22:48
VLT102186,Over-speeding,-0.3727629,Uttar Pradesh,2029-01-12,18:21,Scooter,Yellow,-0.38655567,-0.38484493,Other,2.6247945,Dust Storm,Wet,Valid,-0.49021432,Yes,Yes,Red,1.4192667,1.4089267,-0.712151,Positive,No,No,Not Paid,No,Repeat Offender,Overloading,0.08147144,West Bengal,2028-06-04,22:48
VLT103660,Over-speeding,-0.3727629,Delhi,2033-01-25,12:55,Scooter,Silver,-0.38655567,-0.38484493,Male,-0.3809822,Dust Storm,Potholes,Suspended,-0.49021432,Yes,,Red,-0.7045892,1.4089267,-0.712151,Positive,Yes,No,Card,Yes,Repeat Offender,Overloading,0.05466936,Delhi,2028-06-04,22:48
VLT100052,Over-speeding,-0.3727629,West Bengal,2023-03-11,05:47,Scooter,Red,-0.38655567,-0.38484493,Other,2.6247945,Dust Storm,Wet,Suspended,-0.49021432,Yes,No,Yellow,-0.7045892,-0.70976007,1.4041966,Positive,No,No,Cash,No,Repeat Offender,Overloading,0.07116134,West Bengal,2028-06-04,22:48
VLT103968,Over-speeding,-0.3727629,Uttar Pradesh,2033-11-29,16:18,Scooter,Grey,2.5869496,-0.38484493,Other,-0.3809822,Rainy,Under Construction,Expired,-0.49021432,,Yes,Yellow,-0.7045892,-0.70976007,1.4041966,Not Conducted,No,No,Cash,No,Repeat Offender,Overloading,0.055355236,West Bengal,2028-06-04,22:48
VLT103939,Over-speeding,-0.3727629,West Bengal,2033-10-31,06:19,Scooter,Silver,-0.38655567,2.5984492,Other,-0.3809822,Rainy,Under Construction,Suspended,-0.49021432,No,Yes,Green,1.4192667,-0.70976007,1.4041966,Positive,Yes,No,Card,Yes,Repeat Offender,Overloading,0.017557055,West Bengal,2028-06-04,22:48
VLT101158,Over-speeding,-0.3727629,West Bengal,2026-03-21,08:33,Scooter,Green,-0.38655567,-0.38484493,Male,-0.3809822,Cloudy,Slippery,Expired,-0.49021432,Yes,Yes,Yellow,-0.7045892,-0.70976007,-0.712151,Negative,No,No,Not Paid,No,Repeat Offender,Overloading,0.09928588,West Bengal,2028-06-04,22:48
VLT100125,Over-speeding,-0.3727629,Delhi,2023-05-23,18:35,Scooter,White,-0.38655567,-0.38484493,Male,-0.3809822,Cloudy,Slippery,Suspended,2.0399241,No,,Yellow,-0.7045892,-0.70976007,1.4041966,Not Conducted,Yes,No,Cash,No,Repeat Offender,Overloading,0.07172102,West Bengal,2028-06-04,22:48
VLT102321,Over-speeding,2.6826706,Delhi,2029-05-27,07:22,Scooter,Red,-0.38655567,-0.38484493,Other,2.6247945,Rainy,Under Construction,Suspended,2.0399241,,No,Red,-0.7045892,1.4089267,-0.712151,Positive,No,No,Cash,No,Repeat Offender,Overloading,0.030013274,West Bengal,2028-06-04,22:48
